rotten_tomatoes_link;movie_title;content_rating;genre;directors;original_release_date;streaming_release_date;runtime;production_company;audience_rating;audience_count
m/0814255;Percy Jackson & the Olympians: The Lightning Thief;PG;ACTION & ADVENTURE;Chris Columbus;02/12/2010;11/25/2015;119;20th Century Fox;53;254421
m/0878835;Please Give;R;COMEDY;Nicole Holofcener;4/30/2010;09/04/2012;90;Sony Pictures Classics;64;11574
m/10;10;R;COMEDY;Blake Edwards;10/05/1979;7/24/2014;122;Waner Bros.;53;14684
m/1000013-12_angry_men;12 Angry Men (Twelve Angry Men);NR;DRAMA;Sidney Lumet;4/13/1957;1/13/2017;95;Criterion Collection;97;105386
m/1000079-20000_leagues_under_the_sea;20,000 Leagues Under The Sea;G;ACTION & ADVENTURE;Richard Fleischer;01/01/1954;06/10/2016;127;Disney;74;68918
m/10000_bc;10,000 B.C.;PG-13;ACTION & ADVENTURE;Roland Emmerich;03/07/2008;6/22/2013;109;Warner Bros. Pictures;37;411140
m/1000121-39_steps;The 39 Steps;NR;ACTION & ADVENTURE;Alfred Hitchcock;08/01/1935;01/12/2017;80;Gaumont British Distributors;86;23890
m/1000123-310_to_yuma;3:10 to Yuma;NR;DRAMA;Delmer Daves;08/07/1957;4/16/2012;92;Columbia Pictures;79;9243
m/10002008-charly;Charly (A Heartbeat Away);PG;COMEDY;Adam Thomas Anderegg;9/27/2002;5/22/2017;103;Excel Entertainment;87;4819
m/1000204-abraham_lincoln;Abraham Lincoln;NR;DRAMA;D.W. Griffith;11/08/1930;12/03/2013;97;United Artists;40;457
m/10002114-dark_water;Dark Water;PG-13;HORROR;Hideo Nakata;1/19/2002;3/23/2017;100;Toho Company Ltd;66;21475
m/1000224-accused;The Accused;R;DRAMA;Jonathan Kaplan;10/14/1988;10/04/2016;110;Paramount Pictures;79;20821
m/10002516-lost_city;The Lost City;R;DRAMA;Andy Garcia;09/03/2005;3/23/2017;143;Magnolia Pictures;64;25944
m/10002519-breaking_point;The Breaking Point;NR;DRAMA;Michael Curtiz;10/06/1950;8/25/2016;97;Warner Home Video;86;335
m/1000253-adams_rib;Adam's Rib;NR;COMEDY;George Cukor;11/18/1949;05/01/2008;101;MGM Home Entertainment;86;10563
m/10002635-bridge_of_san_luis_rey;The Bridge of San Luis Rey;PG;DRAMA;Mary McGuckian;06/10/2005;7/24/2014;124;Fine Line Features;35;1935
m/10002673-prowler;The Prowler (Cost of Living );PG;DRAMA;Joseph Losey;12/03/1951;12/05/2016;92;VCI Entertainment;86;286
